label,area_filled,axis_major_length,axis_minor_length,feret_diameter_max
17311,1939.0,17.7716172406449,13.488025140043629,19.6468827043885
17407,101.0,6.531725614641035,5.2051582711205375,7.3484692283495345
17412,144.0,18.873827165202986,3.5017851181067376,17.74823934929885
17509,522.0,11.606885666415893,9.192590764616345,13.379088160259652
17591,131.0,7.630085975543637,5.71721088585545,8.774964387392123
18177,253.0,20.508365068799993,6.2088880947233465,19.467922333931785
18187,1299.0,16.012627724317007,11.865158897285859,18.275666882497067
18436,542.0,11.280060172016034,9.42974689675832,12.68857754044952
18447,254.0,15.567170872621265,7.75072407945763,16.673332000533065
18721,328.0,10.300848688608154,7.691164820834283,11.704699910719626
19765,156.0,12.232517006754335,6.154288058405636,12.36931687685298
19806,331.0,25.21309669250962,8.81439808580647,23.2163735324878
19830,3014.0,21.448838969591794,16.172348414100057,27.09243436828813
19841,709.0,12.963236064274598,9.292533376027533,13.601470508735444
19866,159.0,15.290926445536439,5.79622890305849,14.628738838327793
19997,379.0,9.435351613063279,8.597282576170842,11.045361017187261
20024,195.0,9.813777581626676,5.60672562861493,10.04987562112089
20100,774.0,12.612385197901762,10.413036631410442,14.247806848775006
20279,218.0,8.025405980968488,6.766600012815849,9.16515138991168
20337,105.0,7.1071340638047085,5.039840209897977,7.681145747868608
20388,433.0,10.926692148475398,8.5613431226606,11.874342087037917
20392,315.0,10.209585652250158,7.661739609587612,11.224972160321824
20648,105.0,10.863442089752995,4.342125782733984,11.224972160321824
20685,124.0,16.307248763323646,5.483354583023365,16.09347693943108
20689,102.0,8.864320406887693,4.36807779765599,10.04987562112089
21105,104.0,17.421386076657164,5.24297444191715,16.24807680927192
21478,4782.0,23.577913669884225,19.201586283820326,25.88435821108957
21587,114.0,15.263309575579582,4.036562471310042,15.7797338380595
21863,876.0,13.435004560697712,10.697266358677819,14.696938456699069
22197,111.0,6.98103965670785,5.31643010601162,7.54983443527075
22755,248.0,8.752246033120871,7.209656784080196,9.695359714832659
23275,293.0,9.597432522146503,7.613686020994287,10.63014581273465
23301,283.0,24.935523236367167,5.978253687328246,21.95449840010015
23626,130.0,7.474399754472398,5.739551223480189,7.874007874011811
23738,113.0,16.00260400403571,4.927317655979513,13.638181696985855
23833,292.0,9.483872451725276,7.011819778682181,10.295630140987
23895,165.0,17.160421576491093,6.697390050876368,16.09347693943108
24101,476.0,11.11286819736101,8.171968859057667,12.806248474865697
24248,258.0,9.234545195132181,6.993638340799627,9.9498743710662
24302,281.0,9.428900997584725,6.95235536139978,10.295630140987
24663,281.0,12.151429307329332,6.862906282766097,14.317821063276353
24766,197.0,26.882237142348508,6.565011385444617,22.891046284519195
24826,504.0,26.71140587484343,8.928956365783822,28.653097563788805
25051,333.0,18.39078805908745,5.993533054594363,21.0
25101,904.0,14.546926881411087,10.591413835154693,17.029386365926403
25287,226.0,8.962435477249045,6.057835967425937,9.695359714832659
25548,175.0,7.783674978454097,6.430875770856847,8.602325267042627
25633,129.0,6.724979979882665,5.791355609445626,7.681145747868608
