label,area_filled,area_convex,axis_major_length,axis_minor_length,feret_diameter_max
6665,1269.0,1454.0,15.468673637093083,12.282910915634107,17.029386365926403
6667,172.0,201.0,7.69543114233318,6.159210811643688,8.48528137423857
6669,133.0,160.0,7.260586152839285,5.680920846887259,8.306623862918075
6670,8244.0,21263.0,40.263710515821764,26.29377303210198,47.47630988187688
6671,1829.0,2165.0,19.21346871526334,12.69207159801002,20.518284528683193
6672,177.0,223.0,8.975973921642233,5.954475452629256,11.180339887498949
6673,644.0,750.0,13.203251588797665,9.175230270386724,14.45683229480096
6677,407.0,504.0,11.10568791820578,8.06159667303195,12.68857754044952
6681,273.0,337.0,10.567072052394423,6.938143825713631,12.24744871391589
6682,175.0,205.0,8.851679258215635,5.651162995521002,9.899494936611665
6683,289.0,339.0,9.582414379217504,7.468863697560466,11.874342087037917
6685,631.0,764.0,12.074640452837395,9.11220421285118,14.247806848775006
6686,396.0,491.0,12.495021595374466,7.94797753633345,14.696938456699069
6689,257.0,306.0,10.241934804748636,6.996575930977919,10.954451150103322
6690,165.0,201.0,8.466113351769952,6.025612207937906,9.539392014169456
6691,141.0,173.0,8.080484633722625,5.470669219821448,9.055385138137417
6692,636.0,738.0,12.228971870014623,9.845348695151257,14.0
6693,466.0,594.0,13.646062426278919,8.084489942014642,15.427248620541512
6695,109.0,135.0,9.459707848430336,4.397147203572863,10.099504938362077
6696,106.0,134.0,9.209094422494088,4.194850421113109,9.539392014169456
6697,459.0,545.0,10.835848259007266,8.734916727796042,13.0
6701,11919.0,22257.0,56.00877319816729,22.612716526150855,63.15853069855251
6704,292.0,356.0,11.405760301949876,6.324358920930298,12.529964086141668
6705,644.0,783.0,13.161371392918218,9.472420232099209,15.0996688705415
6706,501.0,591.0,11.63041643172849,8.864204679125018,13.490737563232042
6707,137.0,167.0,8.166912033049934,5.655093481233514,8.774964387392123
6708,1002.0,1302.0,14.1431217979597,10.917397845695048,17.97220075561143
6709,12708.0,14418.0,31.84567935765993,25.86089416873974,36.359317925395686
6712,775.0,914.0,12.269769598168448,10.598528255394042,14.7648230602334
6714,145.0,356.0,20.23901571899694,4.673069664265618,17.233687939614086
6716,180.0,235.0,8.766259018981298,5.706789812238528,10.816653826391969
6719,805.0,948.0,13.484974397532483,9.250221841729099,14.89966442575134
6722,601.0,721.0,11.861547521913087,9.259430846209717,14.45683229480096
6723,413.0,503.0,12.731744465829038,6.099580037235512,14.491376746189438
6726,221.0,290.0,13.176527275914644,5.5357017917201485,14.177446878757825
6728,6159.0,10708.0,32.982536202084255,20.51935757896949,31.76476034853718
6729,554.0,874.0,15.466200465833868,8.902325527498972,18.193405398660254
6730,281.0,333.0,10.299631052777883,6.2549645142180115,11.180339887498949
6733,202.0,241.0,9.688190503858868,6.129661945772453,10.63014581273465
6734,287.0,363.0,11.028877589825461,6.166172208370579,12.12435565298214
6735,389.0,484.0,11.542752165050418,7.6206170166618294,13.0
6737,1261.0,2505.0,41.58640723232683,9.41695646030586,35.24202037341219
6738,191.0,265.0,11.20420912991163,5.3552668773320455,12.68857754044952
6740,437.0,518.0,13.107253666337044,7.2269005240776,14.45683229480096
6742,764.0,1093.0,15.389916294385586,9.252173805398783,17.916472867168917
6743,181.0,220.0,9.973681941895103,6.0160337168516955,11.874342087037917
6744,3594.0,10352.0,52.18485418747571,18.237534913565625,52.05766033928148
6745,127.0,164.0,8.829074173931533,5.08326896941944,10.04987562112089
6747,145.0,172.0,8.480120742632,5.2252553330199705,8.774964387392123
6749,125.0,145.0,8.08854763913686,4.657235503264885,9.219544457292887
6750,136.0,161.0,7.214587490349717,5.865737314591103,7.681145747868608
6752,441.0,518.0,10.712787499409021,8.803875627955195,11.874342087037917
6754,576.0,1082.0,17.426682194874427,7.16055005914428,17.72004514666935
6757,19323.0,30751.0,61.06818470400671,25.61818770175993,59.51470406546604
6758,1068.0,1323.0,15.793554278822231,11.018732005878126,21.307275752662516
6762,839.0,990.0,13.672516879396882,10.563950663459721,15.937377450509228
6763,741.0,1404.0,35.93446354067608,7.792837532899178,27.748873851023216
6764,153.0,179.0,7.455586585448808,6.134238541738538,8.831760866327848
6765,448.0,533.0,10.82300815805422,8.863208449116888,12.449899597988733
6766,251.0,356.0,13.813793674276214,4.741390996996868,13.74772708486752
6767,1345.0,2516.0,35.53588514788641,11.189427444840883,32.14031735997639
6769,36229.0,45286.0,47.459158100962995,38.69434385586941,62.71363488110062
6771,165.0,209.0,8.599935614122808,6.173016085288562,9.695359714832659
6775,974.0,1120.0,13.849993770701227,11.567664782725538,15.937377450509228
6777,12911.0,18653.0,38.933695503074915,23.502228179276262,40.963398296528084
6778,433.0,557.0,15.226784450901105,7.486909390928636,15.937377450509228
6779,732.0,931.0,14.951353721249323,9.271084540411376,16.1245154965971
6780,220.0,257.0,8.967480532031068,6.272358212926785,10.488088481701515
6781,751.0,919.0,14.760825384515545,9.583414840648437,17.029386365926403
6782,140.0,168.0,8.426259220431703,4.894236116981573,9.0
6783,470.0,609.0,13.927428549978861,7.493008627441359,14.491376746189438
6785,127.0,153.0,8.56655712003939,4.9737970275201935,9.0
6786,101.0,126.0,7.673935768237227,5.133556803623795,9.539392014169456
6787,775.0,975.0,12.911973526663333,10.534022441751484,14.798648586948742
6788,114.0,142.0,7.8761881819593835,5.27294242713572,9.16515138991168
6789,1291.0,1513.0,16.519843812276047,11.690310155405488,19.026297590440446
6790,866.0,1579.0,23.754942955340553,8.814519374387217,23.790754506740637
6791,5318.0,8335.0,41.210029204579634,17.48507983305634,47.3392015141785
6796,2343.0,3465.0,25.37913372192964,14.291113537112226,29.79932885150268
6798,331.0,609.0,14.014519489186462,7.357772728045341,13.74772708486752
6807,701.0,826.0,12.375896293157801,10.481454690106023,14.628738838327793
6808,1748.0,2354.0,19.7891921185688,11.76313062509864,21.563858652847824
6809,3768.0,6515.0,44.644835535396034,15.378162833504943,41.892720131306824
6813,5029.0,5738.0,23.401473546897204,20.30732481122617,26.419689627245813
6814,336.0,405.0,11.016796658597837,7.3333194845596426,12.529964086141668
6815,1859.0,2129.0,17.561745251664657,13.820804114760891,18.81488772222678
6817,186.0,294.0,12.31098872104778,5.658374319547514,12.206555615733702
6818,336.0,399.0,10.948244534774101,6.8161844442447945,11.874342087037917
6822,843.0,1109.0,14.474271511370942,10.109973540645496,16.522711641858304
